FECHA_RESULTADO,DEPARTAMENTO,SEXO,casos_positivos
2020-03-06,LIMA,MASCULINO,1
2020-03-07,AREQUIPA,MASCULINO,1
2020-03-07,LIMA,FEMENINO,1
2020-03-07,LIMA,MASCULINO,3
2020-03-08,LIMA,FEMENINO,1
2020-03-08,LIMA,MASCULINO,1
2020-03-09,HUANUCO,FEMENINO,1
2020-03-09,HUANUCO,MASCULINO,1
2020-03-09,LIMA,MASCULINO,1
2020-03-10,LIMA,MASCULINO,1
2020-03-11,ICA,MASCULINO,1
2020-03-11,LIMA,FEMENINO,5
2020-03-11,LIMA,MASCULINO,1
2020-03-12,LIMA,FEMENINO,6
2020-03-12,LIMA,MASCULINO,2
2020-03-13,CUSCO,MASCULINO,1
2020-03-13,LIMA,FEMENINO,2
2020-03-13,LIMA,MASCULINO,3
2020-03-14,CALLAO,FEMENINO,1
2020-03-14,LAMBAYEQUE,FEMENINO,1
2020-03-14,LIMA,FEMENINO,5
2020-03-14,LIMA,MASCULINO,10
2020-03-14,PIURA,MASCULINO,1
2020-03-15,ANCASH,MASCULINO,1
2020-03-15,CALLAO,FEMENINO,1
2020-03-15,LA LIBERTAD,FEMENINO,1
2020-03-15,LAMBAYEQUE,FEMENINO,1
2020-03-15,LIMA,FEMENINO,10
2020-03-15,LIMA,MASCULINO,10
2020-03-16,CALLAO,MASCULINO,1
2020-03-16,LAMBAYEQUE,FEMENINO,1
2020-03-16,LAMBAYEQUE,MASCULINO,2
2020-03-16,LIMA,FEMENINO,4
2020-03-16,LIMA,MASCULINO,9
2020-03-16,LORETO,MASCULINO,1
2020-03-17,LA LIBERTAD,FEMENINO,1
2020-03-17,LIMA,FEMENINO,7
2020-03-17,LIMA,MASCULINO,9
2020-03-17,LORETO,FEMENINO,3
2020-03-17,LORETO,MASCULINO,6
2020-03-18,ANCASH,MASCULINO,1
2020-03-18,LIMA,FEMENINO,25
2020-03-18,LIMA,MASCULINO,19
2020-03-18,LORETO,MASCULINO,1
2020-03-18,MADRE DE DIOS,FEMENINO,1
2020-03-19,ANCASH,FEMENINO,2
2020-03-19,AREQUIPA,FEMENINO,1
2020-03-19,JUNIN,FEMENINO,1
2020-03-19,JUNIN,MASCULINO,1
2020-03-19,LIMA,FEMENINO,24
2020-03-19,LIMA,MASCULINO,29
2020-03-19,LORETO,MASCULINO,1
2020-03-20,AREQUIPA,FEMENINO,1
2020-03-20,CALLAO,MASCULINO,1
2020-03-20,JUNIN,FEMENINO,6
2020-03-20,JUNIN,MASCULINO,1
2020-03-20,LA LIBERTAD,FEMENINO,1
2020-03-20,LA LIBERTAD,MASCULINO,1
2020-03-20,LAMBAYEQUE,FEMENINO,1
2020-03-20,LAMBAYEQUE,MASCULINO,1
2020-03-20,LIMA,FEMENINO,12
2020-03-20,LIMA,MASCULINO,13
2020-03-20,LORETO,FEMENINO,1
2020-03-20,LORETO,MASCULINO,1
2020-03-20,PIURA,FEMENINO,8
2020-03-20,PIURA,MASCULINO,6
2020-03-21,LIMA,FEMENINO,18
2020-03-21,LIMA,MASCULINO,9
2020-03-21,LORETO,MASCULINO,1
2020-03-21,PIURA,FEMENINO,1
2020-03-22,AREQUIPA,FEMENINO,2
2020-03-22,AREQUIPA,MASCULINO,1
2020-03-22,CALLAO,FEMENINO,1
2020-03-22,ICA,FEMENINO,1
2020-03-22,LIMA,FEMENINO,16
2020-03-22,LIMA,MASCULINO,12
2020-03-23,LA LIBERTAD,MASCULINO,1
2020-03-23,LIMA,FEMENINO,7
2020-03-23,LIMA,MASCULINO,8
2020-03-23,TUMBES,FEMENINO,2
2020-03-23,TUMBES,MASCULINO,1
2020-03-24,ANCASH,MASCULINO,1
2020-03-24,CAJAMARCA,MASCULINO,1
2020-03-24,JUNIN,MASCULINO,1
2020-03-24,LA LIBERTAD,MASCULINO,1
2020-03-24,LAMBAYEQUE,FEMENINO,1
2020-03-24,LAMBAYEQUE,MASCULINO,2
2020-03-24,LIMA,FEMENINO,20
2020-03-24,LIMA,MASCULINO,15
2020-03-24,LORETO,FEMENINO,2
2020-03-25,ANCASH,FEMENINO,1
2020-03-25,AREQUIPA,FEMENINO,1
2020-03-25,AREQUIPA,MASCULINO,3
2020-03-25,CALLAO,MASCULINO,4
2020-03-25,LA LIBERTAD,MASCULINO,3
2020-03-25,LIMA,FEMENINO,27
2020-03-25,LIMA,MASCULINO,48
2020-03-25,PIURA,MASCULINO,1
2020-03-26,CALLAO,FEMENINO,1
2020-03-26,CALLAO,MASCULINO,1
2020-03-26,HUANUCO,MASCULINO,2
2020-03-26,JUNIN,MASCULINO,1
2020-03-26,LAMBAYEQUE,MASCULINO,1
2020-03-26,LIMA,FEMENINO,15
2020-03-26,LIMA,MASCULINO,18
2020-03-26,LORETO,FEMENINO,3
2020-03-26,LORETO,MASCULINO,2
2020-03-26,PASCO,FEMENINO,1
2020-03-26,TUMBES,FEMENINO,1
2020-03-26,TUMBES,MASCULINO,1
2020-03-27,CALLAO,FEMENINO,1
2020-03-27,ICA,MASCULINO,1
2020-03-27,LA LIBERTAD,FEMENINO,1
2020-03-27,LAMBAYEQUE,MASCULINO,1
2020-03-27,LIMA,FEMENINO,6
2020-03-27,LIMA,MASCULINO,14
2020-03-27,LORETO,FEMENINO,2
