FECHA_FALLECIMIENTO,DEPARTAMENTO,SEXO,defunciones
2020-03-03,SAN MARTIN,MASCULINO,1
2020-03-04,SAN MARTIN,MASCULINO,1
2020-03-07,LORETO,FEMENINO,1
2020-03-08,CUSCO,FEMENINO,1
2020-03-11,LIMA,MASCULINO,1
2020-03-11,PIURA,FEMENINO,1
2020-03-14,LIMA,MASCULINO,1
2020-03-14,LORETO,MASCULINO,1
2020-03-16,AYACUCHO,FEMENINO,1
2020-03-16,LIMA,MASCULINO,3
2020-03-16,LIMA,FEMENINO,1
2020-03-17,CUSCO,MASCULINO,1
2020-03-17,ICA,FEMENINO,1
2020-03-17,JUNIN,FEMENINO,1
2020-03-17,LIMA,FEMENINO,1
2020-03-17,LORETO,MASCULINO,1
2020-03-17,UCAYALI,MASCULINO,1
2020-03-18,LAMBAYEQUE,MASCULINO,1
2020-03-18,LIMA,MASCULINO,3
2020-03-18,LIMA,FEMENINO,1
2020-03-18,LORETO,MASCULINO,1
2020-03-19,LAMBAYEQUE,MASCULINO,1
2020-03-19,LIMA,MASCULINO,4
2020-03-19,LIMA,FEMENINO,3
2020-03-20,ICA,FEMENINO,1
2020-03-20,LAMBAYEQUE,MASCULINO,1
2020-03-20,LIMA,MASCULINO,2
2020-03-20,LIMA,FEMENINO,1
2020-03-20,LORETO,FEMENINO,1
2020-03-21,LAMBAYEQUE,MASCULINO,2
2020-03-21,LIMA,MASCULINO,1
2020-03-21,PIURA,MASCULINO,1
2020-03-21,UCAYALI,MASCULINO,1
2020-03-22,CALLAO,MASCULINO,1
2020-03-22,CALLAO,FEMENINO,1
2020-03-22,LIMA,MASCULINO,1
2020-03-22,LORETO,MASCULINO,1
2020-03-22,PIURA,MASCULINO,1
2020-03-23,LIMA,MASCULINO,3
2020-03-23,LIMA,FEMENINO,2
2020-03-23,MADRE DE DIOS,FEMENINO,1
2020-03-24,ANCASH,MASCULINO,1
2020-03-24,CUSCO,MASCULINO,1
2020-03-24,ICA,MASCULINO,1
2020-03-24,LA LIBERTAD,FEMENINO,1
2020-03-24,LAMBAYEQUE,MASCULINO,1
2020-03-24,LIMA,MASCULINO,4
2020-03-24,LORETO,MASCULINO,1
2020-03-24,LORETO,FEMENINO,1
2020-03-24,PUNO,MASCULINO,1
2020-03-24,UCAYALI,MASCULINO,1
2020-03-25,ICA,FEMENINO,1
2020-03-25,LIMA,MASCULINO,2
2020-03-25,LIMA,FEMENINO,1
2020-03-25,LORETO,MASCULINO,1
2020-03-25,LORETO,FEMENINO,1
2020-03-25,PIURA,FEMENINO,1
2020-03-26,ANCASH,MASCULINO,1
2020-03-26,LA LIBERTAD,MASCULINO,1
2020-03-26,LAMBAYEQUE,MASCULINO,2
2020-03-26,LAMBAYEQUE,FEMENINO,1
2020-03-26,LIMA,MASCULINO,2
2020-03-26,LIMA,FEMENINO,1
2020-03-26,UCAYALI,FEMENINO,1
2020-03-27,ANCASH,MASCULINO,1
2020-03-27,CUSCO,MASCULINO,2
2020-03-27,LIMA,MASCULINO,8
2020-03-27,LIMA,FEMENINO,2
2020-03-27,LORETO,FEMENINO,1
2020-03-27,UCAYALI,FEMENINO,1
2020-03-28,ANCASH,FEMENINO,1
2020-03-28,ICA,MASCULINO,1
2020-03-28,LAMBAYEQUE,MASCULINO,1
2020-03-28,LIMA,MASCULINO,3
2020-03-28,LIMA,FEMENINO,3
2020-03-29,ANCASH,MASCULINO,1
2020-03-29,AREQUIPA,MASCULINO,1
2020-03-29,LAMBAYEQUE,FEMENINO,1
2020-03-29,LIMA,MASCULINO,6
2020-03-29,LIMA,FEMENINO,5
2020-03-29,LORETO,MASCULINO,2
2020-03-29,LORETO,FEMENINO,1
2020-03-29,PIURA,MASCULINO,1
2020-03-29,SAN MARTIN,FEMENINO,1
2020-03-29,UCAYALI,FEMENINO,1
2020-03-30,ICA,FEMENINO,1
2020-03-30,JUNIN,MASCULINO,1
2020-03-30,LA LIBERTAD,FEMENINO,1
2020-03-30,LAMBAYEQUE,MASCULINO,2
2020-03-30,LAMBAYEQUE,FEMENINO,3
2020-03-30,LIMA,MASCULINO,7
2020-03-30,LIMA,FEMENINO,3
2020-03-30,LORETO,MASCULINO,2
2020-03-30,SAN MARTIN,MASCULINO,1
2020-03-30,TUMBES,MASCULINO,1
2020-03-30,UCAYALI,MASCULINO,2
2020-03-30,UCAYALI,FEMENINO,1
2020-03-31,AREQUIPA,MASCULINO,1
2020-03-31,CALLAO,MASCULINO,1
2020-03-31,CALLAO,FEMENINO,2
2020-03-31,ICA,FEMENINO,1
2020-03-31,LA LIBERTAD,MASCULINO,1
2020-03-31,LAMBAYEQUE,MASCULINO,2
2020-03-31,LAMBAYEQUE,FEMENINO,1
2020-03-31,LIMA,MASCULINO,10
2020-03-31,LIMA,FEMENINO,4
2020-03-31,LORETO,MASCULINO,1
2020-03-31,SAN MARTIN,MASCULINO,1
2020-04-01,AREQUIPA,MASCULINO,2
2020-04-01,CAJAMARCA,FEMENINO,1
2020-04-01,CALLAO,MASCULINO,4
2020-04-01,CALLAO,FEMENINO,1
2020-04-01,ICA,MASCULINO,2
2020-04-01,LAMBAYEQUE,MASCULINO,1
2020-04-01,LAMBAYEQUE,FEMENINO,1
2020-04-01,LIMA,MASCULINO,5
2020-04-01,LIMA,FEMENINO,4
2020-04-01,LORETO,MASCULINO,1
2020-04-01,TACNA,MASCULINO,1
2020-04-01,TUMBES,FEMENINO,1
2020-04-02,AREQUIPA,FEMENINO,3
2020-04-02,CALLAO,MASCULINO,1
2020-04-02,CALLAO,FEMENINO,2
2020-04-02,CUSCO,MASCULINO,2
2020-04-02,ICA,MASCULINO,1
2020-04-02,ICA,FEMENINO,1
2020-04-02,LA LIBERTAD,MASCULINO,1
2020-04-02,LIMA,MASCULINO,11
2020-04-02,LIMA,FEMENINO,2
2020-04-02,LORETO,MASCULINO,1
2020-04-02,PIURA,FEMENINO,1
2020-04-02,UCAYALI,MASCULINO,1
2020-04-03,AREQUIPA,MASCULINO,1
2020-04-03,AREQUIPA,FEMENINO,2
2020-04-03,CAJAMARCA,MASCULINO,1
2020-04-03,CALLAO,MASCULINO,2
2020-04-03,ICA,MASCULINO,2
2020-04-03,ICA,FEMENINO,1
2020-04-03,LAMBAYEQUE,MASCULINO,4
2020-04-03,LAMBAYEQUE,FEMENINO,1
2020-04-03,LIMA,MASCULINO,20
2020-04-03,LIMA,FEMENINO,10
2020-04-03,LORETO,MASCULINO,1
2020-04-03,PIURA,MASCULINO,1
2020-04-03,PIURA,FEMENINO,1
2020-04-03,TUMBES,MASCULINO,1
2020-04-03,UCAYALI,MASCULINO,1
2020-04-04,AREQUIPA,MASCULINO,5
2020-04-04,CALLAO,MASCULINO,2
2020-04-04,ICA,MASCULINO,1
2020-04-04,ICA,FEMENINO,1
2020-04-04,JUNIN,MASCULINO,1
2020-04-04,LA LIBERTAD,MASCULINO,1
2020-04-04,LA LIBERTAD,FEMENINO,1
2020-04-04,LAMBAYEQUE,MASCULINO,3
2020-04-04,LAMBAYEQUE,FEMENINO,2
2020-04-04,LIMA,MASCULINO,24
2020-04-04,LIMA,FEMENINO,9
2020-04-04,PIURA,MASCULINO,3
2020-04-04,PIURA,FEMENINO,2
2020-04-04,UCAYALI,MASCULINO,4
2020-04-04,UCAYALI,FEMENINO,1
2020-04-05,AMAZONAS,FEMENINO,1
2020-04-05,ANCASH,FEMENINO,1
2020-04-05,AREQUIPA,MASCULINO,1
2020-04-05,CALLAO,MASCULINO,2
2020-04-05,HUANUCO,MASCULINO,1
2020-04-05,HUANUCO,FEMENINO,1
2020-04-05,ICA,MASCULINO,2
2020-04-05,ICA,FEMENINO,1
2020-04-05,JUNIN,MASCULINO,2
2020-04-05,LA LIBERTAD,FEMENINO,1
2020-04-05,LAMBAYEQUE,MASCULINO,3
2020-04-05,LAMBAYEQUE,FEMENINO,2
2020-04-05,LIMA,MASCULINO,15
2020-04-05,LIMA,FEMENINO,5
2020-04-05,LORETO,MASCULINO,3
